,Date,Open,High,Low,Close,Adj Close,Volume,Name
620,2020-10-07,1044.9,1072.0,1035.5,1066.55,1012.87,9284008,INFOSYS
621,2020-10-08,1090.0,1124.0,1088.4,1093.7,1038.65,21482613,INFOSYS
622,2020-10-09,1095.1,1113.3,1088.45,1106.8,1051.09,10567867,INFOSYS
623,2020-10-12,1123.0,1140.0,1112.1,1132.1,1075.12,14633537,INFOSYS
624,2020-10-13,1135.55,1166.05,1135.55,1157.8,1099.52,17523825,INFOSYS
625,2020-10-14,1162.0,1164.9,1131.1,1137.0,1079.77,16649573,INFOSYS
626,2020-10-15,1180.0,1186.0,1092.5,1108.25,1052.47,44288251,INFOSYS
627,2020-10-16,1113.85,1135.95,1096.9,1127.5,1070.75,18365685,INFOSYS
628,2020-10-19,1135.0,1139.0,1115.3,1125.9,1069.23,12902123,INFOSYS
629,2020-10-20,1118.9,1144.7,1110.0,1137.5,1080.24,10448776,INFOSYS
630,2020-10-21,1141.15,1154.35,1135.0,1148.35,1090.55,19811433,INFOSYS
631,2020-10-22,1142.0,1158.0,1123.8,1129.05,1072.22,11271335,INFOSYS
632,2020-10-23,1133.0,1135.0,1120.15,1122.5,1077.45,9069862,INFOSYS
633,2020-10-26,1122.25,1129.6,1103.15,1112.45,1067.8,6309368,INFOSYS
634,2020-10-27,1105.7,1109.7,1077.15,1090.85,1047.07,10172479,INFOSYS
635,2020-10-28,1095.5,1104.75,1070.05,1076.55,1033.34,7608392,INFOSYS
636,2020-10-29,1070.0,1082.0,1060.1,1074.85,1031.71,6935616,INFOSYS
637,2020-10-30,1072.0,1083.6,1052.35,1060.6,1018.03,8800386,INFOSYS
638,2020-11-02,1065.0,1079.95,1051.1,1072.3,1029.27,7183119,INFOSYS
639,2020-11-03,1072.0,1079.4,1057.5,1062.55,1019.91,7204782,INFOSYS
640,2020-11-04,1068.0,1116.0,1066.8,1093.95,1050.05,15702690,INFOSYS
641,2020-11-05,1109.9,1123.0,1099.0,1104.0,1059.69,9568890,INFOSYS
642,2020-11-06,1108.0,1121.1,1091.7,1112.75,1068.09,8807127,INFOSYS
643,2020-11-09,1129.3,1146.0,1121.15,1136.55,1090.94,10160320,INFOSYS
644,2020-11-10,1113.85,1113.85,1078.0,1091.05,1047.26,15622869,INFOSYS
645,2020-11-11,1096.0,1126.35,1087.0,1122.5,1077.45,12514800,INFOSYS
646,2020-11-12,1128.1,1142.0,1113.75,1117.75,1072.89,9180976,INFOSYS
647,2020-11-13,1120.0,1133.0,1117.0,1124.2,1079.08,6363212,INFOSYS
648,2020-11-14,1137.0,1139.65,1131.1,1133.45,1087.96,1136144,INFOSYS
649,2020-11-17,1144.75,1145.0,1112.65,1123.7,1078.6,12813968,INFOSYS
650,2020-11-18,1128.5,1132.7,1101.45,1110.55,1065.98,9839468,INFOSYS
651,2020-11-19,1100.0,1114.7,1093.8,1096.75,1052.73,10092343,INFOSYS
652,2020-11-20,1106.0,1109.0,1091.1,1103.35,1059.07,8063554,INFOSYS
653,2020-11-23,1105.0,1144.8,1101.95,1139.85,1094.1,10546363,INFOSYS
654,2020-11-24,1145.0,1154.9,1133.35,1140.05,1094.3,8515426,INFOSYS
655,2020-11-25,1137.0,1143.5,1111.25,1115.65,1070.88,8958701,INFOSYS
656,2020-11-26,1119.95,1119.95,1098.3,1113.2,1068.52,10962256,INFOSYS
657,2020-11-27,1118.0,1121.0,1091.0,1100.0,1055.85,25306145,INFOSYS
658,2020-12-01,1105.05,1140.25,1105.05,1137.85,1092.18,8933802,INFOSYS
659,2020-12-02,1134.0,1147.45,1121.0,1140.9,1095.11,6741637,INFOSYS
660,2020-12-03,1147.0,1147.0,1122.7,1126.45,1081.24,16212632,INFOSYS
661,2020-12-04,1125.0,1137.0,1115.0,1134.65,1089.11,10564055,INFOSYS
662,2020-12-07,1147.3,1153.0,1136.0,1143.5,1097.61,7792141,INFOSYS
663,2020-12-08,1145.0,1167.0,1145.0,1153.35,1107.06,12308330,INFOSYS
664,2020-12-09,1168.05,1179.5,1157.0,1175.2,1128.04,10039346,INFOSYS
665,2020-12-10,1157.4,1171.65,1150.0,1167.75,1120.88,9488782,INFOSYS
666,2020-12-11,1159.7,1171.95,1155.25,1163.2,1116.52,10574009,INFOSYS
667,2020-12-14,1169.4,1172.6,1148.2,1164.55,1117.81,6728187,INFOSYS
668,2020-12-15,1156.0,1163.7,1152.0,1154.6,1108.26,6905926,INFOSYS
669,2020-12-16,1160.0,1168.9,1153.6,1165.7,1118.92,7788404,INFOSYS
670,2020-12-17,1165.9,1168.9,1156.2,1159.2,1112.68,6658153,INFOSYS
671,2020-12-18,1182.85,1195.0,1175.6,1189.8,1142.05,15995676,INFOSYS
672,2020-12-21,1188.0,1209.75,1152.05,1177.3,1130.05,10858352,INFOSYS
673,2020-12-22,1182.0,1223.85,1176.1,1220.5,1171.52,10901851,INFOSYS
674,2020-12-23,1238.0,1258.85,1230.55,1253.05,1202.76,15878346,INFOSYS
675,2020-12-24,1249.9,1249.9,1226.0,1236.05,1186.44,7313885,INFOSYS
676,2020-12-28,1238.45,1248.0,1236.0,1240.3,1190.52,4607051,INFOSYS
677,2020-12-29,1235.0,1254.45,1235.0,1250.3,1200.12,6878105,INFOSYS
678,2020-12-30,1253.0,1253.3,1238.15,1246.8,1196.76,5194690,INFOSYS
679,2020-12-31,1243.0,1258.4,1239.0,1255.8,1205.4,7430470,INFOSYS
680,2021-01-01,1257.9,1265.5,1255.8,1260.45,1209.86,4253550,INFOSYS
681,2021-01-04,1269.0,1290.0,1261.15,1288.25,1236.55,7208454,INFOSYS
682,2021-01-05,1282.0,1299.0,1275.05,1293.8,1241.88,8145280,INFOSYS
